# core	receive	receive stderr
1	99.3066666667	27.6600265124
2	99.3744444444	24.3841663613
3	299.435555556	37.8195020565
4	289.911111111	33.2663475083
5	286.707777778	31.1041645221
6	285.917777778	30.9594343107
7	354.701111111	13.6986860233
8	354.956666667	14.5078258575
9	354.972222222	14.9220308997
10	353.501111111	16.0699512164
11	470.517777778	39.4614117498
12	467.895555556	39.2813524069
13	465.24	38.104449434
14	465.753333333	38.4379043249
