# core	send	send stderr
1	256.714444444	8.34756200085
2	257.771111111	11.2817871362
3	259.081111111	10.2100755732
4	257.55	7.88026719795
5	259.342222222	10.2560873824
6	258.526666667	9.42398594604
7	258.645555556	21.7361943981
8	257.833333333	9.65867485735
9	257.517777778	9.55956272568
10	258.497777778	11.9449196805
11	269.036666667	9.46148860733
12	267.947777778	8.31067222549
13	269.156666667	9.64865621041
14	267.602222222	8.26112687737
