# src_core	dest_core	cost	stderr
0	0	-1	0
1	0	274.920634921	22.0628982448
2	0	249.714285714	6.89243563149
3	0	262.761904762	11.6233403467
4	0	250.301587302	7.80239059954
5	0	251.857142857	9.57652079656
6	0	21.0	9.0
7	0	283.619047619	5.45814833253
8	0	286.698412698	5.98048392328
9	0	294.666666667	10.3371728658
10	0	283.380952381	6.66530598359
11	0	275.492063492	60.8022746588
12	0	286.492063492	7.40628865323
13	0	285.428571429	6.64929710025
14	0	290.396825397	9.58593493886
15	0	289.031746032	8.31706651194
16	0	287.507936508	8.28245998246
17	0	296.777777778	12.2958819335
18	0	306.476190476	16.6903233469
19	0	311.285714286	16.8893961017
20	0	300.793650794	9.46699987703
21	0	282.26984127	8.43501084239
22	0	301.523809524	17.9513072813
23	0	305.365079365	13.8853600959
24	0	250.571428571	9.39556512355
25	0	250.682539683	6.42619983689
26	0	259.603174603	10.3946562623
27	0	259.968253968	10.5363592007
28	0	247.793650794	32.0922077919
29	0	261.476190476	11.6317261038
30	0	329.984126984	6.87413385826
31	0	336.888888889	12.2954516188
32	0	337.238095238	9.90384611151
33	0	339.444444444	11.650707149
34	0	336.746031746	13.7736443218
35	0	330.80952381	7.59251331928
36	0	299.80952381	13.6763695439
37	0	305.158730159	11.5980380788
38	0	303.634920635	12.5613435578
39	0	294.079365079	9.41512054277
40	0	284.603174603	52.1832971156
41	0	299.396825397	14.1292668033
42	0	347.46031746	14.6783777885
43	0	344.603174603	14.7309626217
44	0	333.301587302	10.1553565827
45	0	343.873015873	14.3631937726
46	0	333.333333333	11.334733807
47	0	338.984126984	11.1902622967
0	1	256.301587302	8.49581581541
1	1	-1	0
2	1	250.253968254	7.96214905577
3	1	267.349206349	13.2103359367
4	1	248.936507937	7.32005944957
5	1	253.523809524	10.0646436675
6	1	-1	0
7	1	284.317460317	6.38904170181
8	1	285.888888889	7.92045996562
9	1	292.650793651	7.26845484804
10	1	282.793650794	4.40475475475
11	1	291.158730159	10.0256913615
12	1	285.650793651	8.02804356597
13	1	285.555555556	8.71192901894
14	1	288.80952381	8.59837035659
15	1	288.428571429	9.39218568425
16	1	288.984126984	8.78940932608
17	1	294.746031746	9.85122384463
18	1	300.349206349	11.1271992371
19	1	307.46031746	13.156958925
20	1	300.841269841	8.30415147507
21	1	279.507936508	5.90365239619
22	1	296.603174603	12.7148702876
23	1	300.936507937	9.98709169398
24	1	254.46031746	7.21731911012
25	1	248.206349206	4.8962529572
26	1	257.777777778	8.7911290866
27	1	255.206349206	8.3307781419
28	1	248.666666667	6.11010092661
29	1	259.761904762	12.3258848624
30	1	329.714285714	6.36565330112
31	1	336.380952381	8.71857817779
32	1	333.015873016	8.45809852077
33	1	335.777777778	11.0646648282
34	1	335.507936508	10.4591010204
35	1	329.920634921	7.67660140431
36	1	297.19047619	12.8962368608
37	1	304.984126984	13.5101279628
38	1	302.476190476	12.6689936996
39	1	291.714285714	7.6892598183
40	1	294.761904762	11.8518825585
41	1	298.952380952	12.1739098745
42	1	340.492063492	12.507614209
43	1	340.634920635	11.6446071547
44	1	333.523809524	9.49829916747
45	1	339.888888889	12.1526156452
46	1	332.825396825	9.46260758474
47	1	339.222222222	11.3703100493
0	2	262.0	12.014541454
1	2	273.222222222	17.8231563702
2	2	-1	0
3	2	279.841269841	21.5496520424
4	2	251.396825397	6.64888027938
5	2	250.857142857	7.55478854317
6	2	32.5	7.5
7	2	283.476190476	5.94647325881
8	2	286.920634921	8.35958073548
9	2	333.714285714	45.1035593469
10	2	280.793650794	6.50557448425
11	2	286.936507937	9.1058554611
12	2	287.031746032	10.1386706714
13	2	287.126984127	8.298961617
14	2	286.746031746	9.33157849824
15	2	287.365079365	8.56960592026
16	2	286.571428571	7.92166866684
17	2	295.253968254	10.2924972735
18	2	298.793650794	36.9972794925
19	2	308.26984127	13.0981718695
20	2	300.26984127	8.18284374291
21	2	277.952380952	5.09724037205
22	2	297.596774194	11.5290092424
23	2	305.0	10.2492740742
24	2	253.047619048	9.18492306943
25	2	246.587301587	5.4237423987
26	2	254.888888889	9.56865104873
27	2	259.301587302	8.84188251275
28	2	248.634920635	5.88326004892
29	2	258.873015873	32.3328385154
30	2	330.634920635	7.09415495443
31	2	336.682539683	9.94081756535
32	2	337.365079365	10.8602984368
33	2	340.523809524	12.657712553
34	2	332.333333333	41.0566778204
35	2	329.063492063	7.30051751997
36	2	301.365079365	12.5815455523
37	2	294.0	53.6585323619
38	2	307.571428571	13.9417316746
39	2	289.888888889	11.4255507472
40	2	298.603174603	11.2342159927
41	2	291.492063492	38.2962027277
42	2	340.079365079	12.8091009155
43	2	337.936507937	12.5126894523
44	2	336.26984127	11.6062467433
45	2	403.873015873	11.5778826689
46	2	333.682539683	9.52661334389
47	2	337.555555556	11.7010076595
0	3	249.698412698	45.8031103542
1	3	266.920634921	18.194104738
2	3	250.571428571	7.69603956222
3	3	-1	0
4	3	247.507936508	31.7049257682
5	3	249.603174603	7.6335510107
6	3	10.5	0.5
7	3	282.428571429	6.0493061014
8	3	287.920634921	8.3119756544
9	3	312.619047619	22.9412144345
10	3	283.841269841	6.71696820594
11	3	287.555555556	8.49608271598
12	3	284.380952381	10.2095948825
13	3	284.492063492	6.32172624574
14	3	285.920634921	8.80890888745
15	3	288.968253968	9.59822776957
16	3	288.507936508	9.76042058662
17	3	292.476190476	9.74574737189
18	3	300.761904762	12.4539969815
19	3	295.015873016	66.1716124009
20	3	297.698412698	8.68612270459
21	3	278.492063492	6.548653117
22	3	296.428571429	13.9633469014
23	3	304.317460317	12.009024909
24	3	252.19047619	9.49161224176
25	3	247.761904762	5.83833604724
26	3	252.746031746	32.7762826824
27	3	253.428571429	8.99685004085
28	3	247.587301587	6.46758687767
29	3	252.968253968	47.8741631794
30	3	330.063492063	7.44689775801
31	3	335.523809524	10.2226905148
32	3	333.349206349	7.22903916898
33	3	339.984126984	12.439685679
34	3	337.253968254	9.87054018877
35	3	328.619047619	6.56452363249
36	3	299.904761905	12.0774146893
37	3	283.936507937	74.0882941755
38	3	305.206349206	41.2153303002
39	3	288.619047619	8.26241936095
40	3	290.428571429	37.9396824069
41	3	295.619047619	9.76457570893
42	3	341.746031746	12.3788968583
43	3	340.936507937	11.3778858413
44	3	333.349206349	10.9125800859
45	3	405.095238095	13.0161246588
46	3	333.222222222	7.80403730362
47	3	336.825396825	10.1348678076
0	4	250.46031746	32.4178205924
1	4	269.396825397	38.6360879426
2	4	250.365079365	8.17526580763
3	4	271.365079365	14.5779803371
4	4	-1	0
5	4	251.158730159	8.65238080678
6	4	15.0	12.0
7	4	281.015873016	6.08013174328
8	4	345.825396825	5.37643205741
9	4	293.476190476	9.42784990024
10	4	280.984126984	5.13775957439
11	4	288.285714286	6.91313121675
12	4	285.777777778	7.8890006699
13	4	286.174603175	7.72039081694
14	4	293.111111111	10.7572214373
15	4	289.650793651	9.36585953167
16	4	286.698412698	8.25512812363
17	4	295.412698413	11.9385130028
18	4	303.285714286	10.8385387808
19	4	310.53968254	13.0770918043
20	4	298.936507937	9.18050559847
21	4	277.063492063	6.51950191854
22	4	297.063492063	13.2411971548
23	4	304.317460317	12.9453373316
24	4	251.031746032	9.13908101032
25	4	248.0	5.78723280092
26	4	254.301587302	7.79832078106
27	4	254.412698413	6.92278254139
28	4	248.793650794	5.13363861232
29	4	262.587301587	10.6139095929
30	4	329.523809524	7.5631880883
31	4	339.904761905	10.660287208
32	4	336.253968254	9.83832521231
33	4	340.206349206	11.0038358826
34	4	335.333333333	9.64940988409
35	4	330.444444444	7.31334457128
36	4	302.317460317	12.7625759912
37	4	306.904761905	13.7040305573
38	4	304.126984127	13.6352624825
39	4	290.53968254	8.37953932292
40	4	297.126984127	10.8327722397
41	4	298.015873016	10.2902204513
42	4	335.666666667	12.7491051662
43	4	337.301587302	11.2414128365
44	4	333.714285714	12.5336734648
45	4	341.079365079	12.3870152026
46	4	334.904761905	10.2209158191
47	4	338.777777778	11.712758536
0	5	261.984126984	12.6497281023
1	5	270.317460317	18.3197572217
2	5	252.571428571	8.02518710797
3	5	259.380952381	59.5124179576
4	5	253.047619048	8.75672724874
5	5	-1	0
6	5	5.25	6.86931583202
7	5	282.158730159	6.82945615722
8	5	287.492063492	7.51057036253
9	5	295.793650794	10.033529076
10	5	282.238095238	5.51394850519
11	5	287.126984127	7.1569525826
12	5	287.063492063	9.01299417485
13	5	284.634920635	6.74784289413
14	5	288.333333333	10.1152093561
15	5	290.047619048	10.7355344851
16	5	285.063492063	7.24376692295
17	5	293.26984127	10.8616207233
18	5	301.46031746	13.0904368303
19	5	311.714285714	15.1274255003
20	5	297.365079365	6.85287933298
21	5	276.380952381	5.31971049286
22	5	298.841269841	11.3139980011
23	5	305.0	11.9496297346
24	5	252.444444444	7.13982298873
25	5	246.507936508	5.5287790089
26	5	252.53968254	8.86373993377
27	5	255.587301587	8.0111725964
28	5	247.841269841	6.40982962705
29	5	263.253968254	12.6088508268
30	5	329.984126984	8.16008882517
31	5	335.73015873	9.27397168253
32	5	335.523809524	10.8098384683
33	5	339.253968254	11.5125442335
34	5	337.80952381	10.9295828975
35	5	331.206349206	8.78880733039
36	5	300.920634921	13.4651833074
37	5	302.285714286	12.3435331972
38	5	305.714285714	13.6596132454
39	5	290.587301587	9.9692143911
40	5	296.238095238	9.32433969017
41	5	298.047619048	12.0822952873
42	5	338.333333333	11.1312515875
43	5	342.650793651	11.610283797
44	5	331.349206349	8.3307781419
45	5	338.174603175	12.2843812082
46	5	332.365079365	11.1002668169
47	5	334.238095238	11.8331177522
0	6	282.603174603	5.33791375494
1	6	285.222222222	6.7104383138
2	6	278.317460317	35.1363897635
3	6	287.365079365	6.20113043279
4	6	282.825396825	5.74190854433
5	6	283.444444444	5.77838824614
6	6	-1	0
7	6	236.666666667	2.63673679998
8	6	237.555555556	3.14606217851
9	6	280.761904762	27.0588507867
10	6	237.238095238	1.752225666
11	6	239.063492063	3.85808989615
12	6	244.936507937	3.27022651452
13	6	248.603174603	5.30510291192
14	6	247.285714286	5.25667699799
15	6	246.825396825	7.68948918265
16	6	245.682539683	4.44659811765
17	6	250.746031746	7.0462604153
18	6	321.555555556	4.81326796479
19	6	325.206349206	6.62644708403
20	6	322.301587302	5.4935313205
21	6	307.634920635	3.90888928852
22	6	314.095238095	6.96411273696
23	6	324.682539683	7.14659514184
24	6	281.571428571	5.88976590398
25	6	281.158730159	4.62294604484
26	6	280.904761905	5.26960221298
27	6	280.079365079	6.75959420991
28	6	279.698412698	4.3411465117
29	6	285.015873016	8.22402995388
30	6	282.19047619	5.70395892274
31	6	283.698412698	5.7476977327
32	6	287.349206349	8.32315326799
33	6	287.206349206	6.83863610777
34	6	281.428571429	8.57777542796
35	6	282.047619048	5.77193145695
36	6	327.936507937	7.8777827351
37	6	327.412698413	8.89022098862
38	6	329.619047619	9.17454825051
39	6	322.079365079	7.84027369805
40	6	327.380952381	8.37499788473
41	6	323.079365079	7.51992398497
42	6	253.857142857	5.25495123399
43	6	253.238095238	6.94356910583
44	6	255.047619048	8.47672550478
45	6	255.587301587	7.14172830586
46	6	254.063492063	7.84952332164
47	6	256.777777778	6.64148683976
0	7	285.031746032	6.1643322582
1	7	286.253968254	6.03421002304
2	7	282.571428571	4.75666378254
3	7	287.142857143	7.06850187953
4	7	282.968253968	6.00256097189
5	7	285.238095238	6.76525738483
6	7	-1	0
7	7	-1	0
8	7	237.904761905	3.81190401832
9	7	299.174603175	13.2671448616
10	7	236.349206349	2.81243683617
11	7	238.142857143	3.31354671564
12	7	244.349206349	4.96066665438
13	7	247.698412698	5.99903410383
14	7	248.53968254	6.69001956679
15	7	249.063492063	6.56559821105
16	7	246.365079365	5.31933158261
17	7	251.079365079	8.01843429142
18	7	323.238095238	6.05455170693
19	7	325.936507937	6.25863978293
20	7	322.746031746	5.85531437885
21	7	305.619047619	4.0724727149
22	7	314.0	6.91903287122
23	7	327.063492063	7.737505065
24	7	281.73015873	6.35261813095
25	7	278.650793651	4.94143071037
26	7	280.761904762	5.51970290699
27	7	281.238095238	6.70634451019
28	7	279.888888889	5.3247285082
29	7	286.841269841	8.83572537101
30	7	281.825396825	6.37838533217
31	7	284.873015873	8.01088953999
32	7	283.904761905	7.39951582653
33	7	283.857142857	6.59931969283
34	7	284.476190476	9.64917488512
35	7	281.698412698	5.34116960212
36	7	327.285714286	8.42036188837
37	7	329.015873016	10.3210250252
38	7	328.047619048	9.43386095013
39	7	322.873015873	8.48994188006
40	7	328.111111111	7.08477265177
41	7	324.285714286	5.9453291562
42	7	253.714285714	4.738992497
43	7	253.333333333	7.4087035903
44	7	253.666666667	8.15913160645
45	7	254.015873016	5.3496537894
46	7	252.984126984	7.54981774928
47	7	255.523809524	6.64247310718
0	8	283.507936508	5.56597662068
1	8	285.19047619	6.02602067455
2	8	281.365079365	5.65770043393
3	8	289.333333333	6.19779786801
4	8	284.206349206	6.51045247534
5	8	283.238095238	6.60859057498
6	8	-1	0
7	8	237.158730159	2.85193528949
8	8	-1	0
9	8	295.095238095	38.8577847753
10	8	236.904761905	2.55550626
11	8	231.111111111	40.2398014729
12	8	243.253968254	6.07092538635
13	8	248.952380952	6.34817451933
14	8	240.73015873	43.3334089191
15	8	244.523809524	31.3702200016
16	8	239.666666667	43.0842659013
17	8	245.412698413	31.2880295182
18	8	322.857142857	7.14666565134
19	8	299.73015873	84.8842734793
20	8	292.650793651	93.2695630324
21	8	306.333333333	4.04733892588
22	8	314.080645161	6.26896705773
23	8	310.920634921	68.7360494561
24	8	268.365079365	58.4083331702
25	8	280.349206349	3.73383810431
26	8	278.857142857	35.4682317695
27	8	276.555555556	35.5303482074
28	8	274.015873016	34.9841197822
29	8	285.015873016	5.75833988282
30	8	283.46031746	5.13569950669
31	8	271.857142857	60.3294808407
32	8	260.952380952	75.7094338068
33	8	284.253968254	10.0332277387
34	8	284.904761905	10.4421524961
35	8	283.222222222	5.76922443811
36	8	327.682539683	9.25447192944
37	8	328.174603175	7.58766685712
