# src_core	dest_core	cost	stderr
0	1	3.71929824561	2.10057958556
0	2	4.90322580645	3.24638596785
0	3	4.25396825397	3.01303124259
0	4	4.88888888889	3.66498277833
0	5	5.35593220339	3.93921058884
0	6	4.69841269841	3.30768667368
0	7	5.90476190476	3.09487177319
0	8	6.09523809524	3.55328725832
0	9	4.69841269841	2.98480235519
0	10	5.07936507937	3.50646381498
0	11	5.22580645161	3.9733765394
0	12	5.39682539683	2.95221026986
0	13	4.59016393443	3.22580298393
0	14	5.54838709677	3.2412533386
0	15	5.11475409836	2.81738374543
1	0	5.82352941176	1.82258039822
1	2	7.38709677419	3.1075082784
1	3	8.33333333333	3.63405410064
1	4	8.2	4.15050197767
1	5	7.95238095238	3.88496724845
1	6	7.59016393443	2.88226373454
1	7	8.01694915254	3.57719483614
1	8	8.90476190476	4.44263001512
1	9	7.7619047619	3.48107940619
1	10	8.24590163934	4.06768850342
1	11	8.26984126984	3.55101751215
1	12	7.90322580645	3.47669511879
1	13	8.5737704918	3.49453445101
1	14	8.03225806452	3.514797025
1	15	9.73015873016	4.32492352151
2	0	2.07936507937	1.77550875608
2	1	3.88	2.65811963613
2	3	5.0	2.2188007849
2	4	5.88888888889	3.22249588329
2	5	5.96774193548	3.02125663844
2	6	5.1935483871	3.08397894264
2	7	6.07936507937	3.12339654
2	8	5.69841269841	2.98480235519
2	9	6.22580645161	3.33804730846
2	10	5.90322580645	2.99843871964
2	11	6.22580645161	2.74402197653
2	12	6.20634920635	2.81807505031
2	13	5.44444444444	3.03303388254
2	14	5.95238095238	2.99962204724
2	15	7.28571428571	3.61403161162
3	0	5.34545454545	2.50249462314
3	1	6.47058823529	3.23190553381
3	2	5.12727272727	1.65204606423
3	4	6.59016393443	2.88226373454
3	5	7.5737704918	3.09658202049
3	6	8.22950819672	3.86829670918
3	7	8.51612903226	4.01506009871
3	8	8.34920634921	3.81375426481
3	9	7.96825396825	3.55442158788
3	10	7.54838709677	3.6881563685
3	11	7.39682539683	3.35488122251
3	12	7.65079365079	3.94469195353
3	13	8.22950819672	3.58683129998
3	14	7.20634920635	3.07658195291
3	15	8.26666666667	3.21385887819
4	0	4.4262295082	1.95405435092
4	1	5.46153846154	2.7207291052
4	2	5.55555555556	2.51415744422
4	3	5.29411764706	2.82352941176
4	5	5.69811320755	1.71106174321
4	6	6.85245901639	3.48220801242
4	7	7.61290322581	3.47968685424
4	8	7.93548387097	3.34987225439
4	9	8.1935483871	3.495797983
4	10	7.26984126984	2.74415019492
4	11	7.01587301587	3.76909767102
4	12	7.16129032258	2.99566110097
4	13	7.41935483871	3.05618562125
4	14	7.65079365079	3.81375426481
4	15	7.14285714286	3.29914439537
5	0	3.52380952381	1.94248362423
5	1	5.77777777778	2.92287698621
5	2	4.77551020408	2.01286987852
5	3	4.48	1.94154577592
5	4	6.14814814815	2.03130506679
5	6	7.5593220339	3.45563252539
5	7	8.34920634921	3.67815831313
5	8	8.22950819672	3.73021971235
5	9	6.95238095238	3.0831264869
5	10	6.88888888889	2.89010963219
5	11	8.03174603175	3.25609686475
5	12	8.4126984127	3.67157645582
5	13	8.4126984127	3.67157645582
5	14	7.67741935484	3.9052247614
5	15	7.5873015873	3.38359684939
6	0	4.23529411765	3.30530313815
6	1	2.61818181818	2.43826248934
6	2	3.76923076923	2.87305375338
6	3	3.76923076923	2.9782247204
6	4	3.28571428571	2.73674915152
6	5	3.03448275862	2.26643816899
6	7	3.36	1.67044904143
6	8	5.8064516129	3.56885591895
6	9	5.33333333333	3.70328039909
6	10	4.44444444444	2.7704665688
