# core	nvalues	median	mean	stddev	min	max
1	90	313.0	309.355555556	31.3451435583	109	365
2	90	299.0	302.577777778	27.8491882099	136	359
3	90	312.0	311.577777778	27.7788799781	146	365
4	90	295.5	294.033333333	26.3394296741	146	352
5	90	310.0	309.988888889	31.2155568211	129	380
6	90	290.0	291.5	16.7180873441	198	341
7	90	295.0	296.155555556	15.1935008848	197	332
8	90	297.0	298.655555556	16.9333078157	199	349
9	90	295.0	295.122222222	14.9731817874	197	336
10	90	301.5	301.055555556	14.9438661598	198	336
11	90	296.0	298.222222222	15.77253434	200	339
12	90	450.0	448.144444444	25.4429912249	354	505
13	90	460.0	456.411111111	30.7447897824	334	520
14	90	453.5	450.122222222	31.2316889563	321	514
15	90	449.5	447.433333333	29.3072042717	339	521
16	90	449.0	448.077777778	27.3655207952	336	493
17	90	451.5	445.544444444	28.1101646744	328	496
18	90	420.0	415.244444444	24.3037770778	346	454
19	90	418.0	412.177777778	24.0769958341	348	464
20	90	418.0	412.866666667	26.4848803828	344	488
21	90	418.0	412.477777778	25.4196895592	346	473
22	90	413.5	408.288888889	30.0330353091	352	485
23	90	409.0	408.877777778	27.961810376	345	463
24	90	353.5	350.522222222	26.8680842379	278	403
25	90	347.0	347.611111111	22.8544644044	298	394
26	90	364.0	352.0	30.7480803376	292	401
27	90	366.5	353.244444444	31.3171274087	281	406
28	90	365.0	352.7	30.7128094883	285	406
29	90	354.0	353.766666667	26.1687048039	298	409
30	90	585.0	581.611111111	26.3509200533	523	657
31	90	588.5	583.1	35.1643917116	499	678
32	90	583.5	577.7	33.7775237564	510	655
33	90	583.0	582.222222222	31.626211976	516	661
34	90	590.5	583.955555556	33.5380086572	484	652
35	90	590.0	588.311111111	29.6845056645	518	663
36	90	453.5	450.322222222	30.1536169851	328	500
37	90	454.5	449.688888889	27.381520307	339	504
38	90	481.0	475.011111111	24.9588525575	373	523
39	90	482.0	480.544444444	24.3324936436	391	531
40	90	480.5	477.522222222	27.2951879266	420	532
41	90	482.0	477.055555556	23.3073002923	403	527
42	90	421.5	417.9	24.984461838	352	470
43	90	410.0	409.233333333	27.2486696923	349	461
44	90	585.5	583.255555556	29.4296000317	526	666
45	90	586.5	583.566666667	28.3823301839	517	653
46	90	583.5	583.066666667	32.4197470687	500	680
47	90	577.0	579.433333333	28.8162955442	499	644
0	90	307.0	305.911111111	26.245272355	109	346
2	90	302.5	305.722222222	13.3641541926	278	351
3	90	307.0	307.177777778	16.0835165985	246	347
4	90	317.5	317.066666667	20.4416785569	269	361
5	90	316.0	313.722222222	23.0323578075	225	358
6	90	289.0	292.455555556	10.7063440291	279	336
7	90	294.0	297.177777778	12.6082669333	279	346
8	90	287.5	291.144444444	10.89603507	270	328
9	90	294.0	297.877777778	12.7120483337	276	349
10	90	294.5	296.6	12.1140873	273	345
11	90	294.0	296.333333333	10.1269716873	277	336
12	90	437.5	434.822222222	24.3951624429	376	494
13	90	437.0	434.4	25.6119763652	305	485
14	90	448.5	446.022222222	26.0362899635	400	515
15	90	444.5	440.444444444	24.0795492349	336	488
16	90	434.0	433.711111111	22.3826542188	374	480
17	90	443.0	441.388888889	26.7833673281	318	515
